Metric,DivTree λ=0 (mean),DivTree λ=0 (std),DivTree λ=1 (mean),DivTree λ=1 (std),DivTree λ=2 (mean),DivTree λ=2 (std),DivTree λ=4 (mean),DivTree λ=4 (std),DivTree λ=8 (mean),DivTree λ=8 (std),TwoStep (tuned) (mean),TwoStep (tuned) (std),TwoStep (recall) (mean),TwoStep (recall) (std)
accuracy,0.45787663441553994,0.2491524422552498,0.4571338429822807,0.24951959955266748,0.45543087380842795,0.24847512595663362,0.4541350081122029,0.24957360017762925,0.45277848857675423,0.24831369503900522,0.46442114122030653,0.2289184733593724,0.44166011447772136,0.22234786350114735
f1_region_2,0.3999846101841012,0.3493371310875869,0.4093134425115918,0.34596421269562116,0.4152603984167546,0.3418689883279974,0.4226471393025343,0.3383131305859296,0.42979365814334547,0.3363298408528887,0.4127600061369247,0.32558739228555117,0.4011545729930489,0.31692868831036813
fnr_region_2,0.4961016135125018,0.4358946860341378,0.49194430294965835,0.43067298490124506,0.48850911016261206,0.4261833644638659,0.4852470691605564,0.4223271838740554,0.47982980133920383,0.4210322820673615,0.49374183284174394,0.40841026770842226,0.4544209058050631,0.43683851634289467
precision_region_2,0.5445888562150489,0.30039760684438177,0.5313856148406058,0.303876264160431,0.5198498293470537,0.30548167495683304,0.5059617569388382,0.30549887128539943,0.5010503238295289,0.30648603841803734,0.5011166902857763,0.25825093605611266,0.472395813816243,0.2547196913205977
recall_region_2,0.5038983864874982,0.4358946860341378,0.5080556970503417,0.43067298490124506,0.5114908898373879,0.4261833644638659,0.5147529308394436,0.4223271838740554,0.5201701986607962,0.4210322820673615,0.506258167158256,0.4084102677084223,0.5455790941949369,0.43683851634289467
n_leaves,22.076363636363638,27.66446006003412,22.143636363636364,27.756380191269795,22.241136363636365,27.661226367665318,22.49568181818182,27.37872398063597,22.8425,27.335873252509653,147.94136363636363,77.45397588218876,91.70454545454545,84.56854120272517
runtime,52.10848043403842,67.6496882764523,53.04661836477843,68.46023612932197,53.70759120610627,69.12073658664998,54.347286372184755,70.17909361256054,54.46084959100593,70.55633229759894,,,,
cpu_time,52.15784616909092,67.62144299359929,53.04516148636363,68.45840888779527,53.706204948863636,69.11900180340997,54.345923817272734,70.17737979593998,54.45949140068182,70.55452578293605,1457.6432527188636,1795.238559562703,1457.158540148409,1794.6050692812598
