factor,factor_bin,metric,method,prefix,n,mean,std,iqr,q05,q95,std_p90,unpredictable
noise,0.5384344159537604,f1_region_2,TwoStep (tuned),twostep_tuned,220,0.4164727932345537,0.3252265543477884,0.5614482806410452,0.0,1.0,0.34331462425450227,False
noise,0.03399607980711228,f1_region_2,λ=2,divtree_lambda2_region2,202,0.457012751349117,0.3251679987266947,0.5239185977294445,0.0,1.0,0.3538171385063605,False
intensity,0.47381483315153217,f1_region_2,λ=8,divtree_lambda8_region2,230,0.4448887485633601,0.32486377201684025,0.5210279170399491,0.0,1.0,0.3452925682792211,False
intensity,0.47381483315153217,f1_region_2,λ=4,divtree_lambda4_region2,230,0.44008872014035916,0.32484625190929894,0.5029080063089253,0.0,1.0,0.3509695534361159,False
rareness,0.1691953477546883,fnr_region_2,TwoStep (tuned),twostep_tuned,228,0.7581916320205271,0.3246486571364902,0.36479894126966095,0.0,1.0,0.3328522872156383,False
rareness,0.1691953477546883,recall_region_2,TwoStep (tuned),twostep_tuned,228,0.24180836797947292,0.3246486571364902,0.3647989412696611,0.0,1.0,0.33285228721563836,False
intensity,0.47381483315153217,f1_region_2,λ=2,divtree_lambda2_region2,230,0.4400245725479184,0.32433996702598916,0.5148375424332828,0.0,1.0,0.35124055724434083,False
rareness,0.1691953477546883,f1_region_2,TwoStep (tuned),twostep_tuned,228,0.26655268350231365,0.3240486873253337,0.41325140044801706,0.0,1.0,0.33485917844274565,False
rareness,0.1691953477546883,fnr_region_2,TwoStep (recall),twostep_recall,228,0.7601200452187702,0.32374920100993726,0.35867707267568516,0.0,1.0,0.3486937994511189,False
rareness,0.1691953477546883,recall_region_2,TwoStep (recall),twostep_recall,228,0.2398799547812299,0.32374920100993726,0.3586770726756852,0.0,1.0,0.3486937994511189,False
data_size,53002.61908810494,f1_region_2,TwoStep (recall),twostep_recall,231,0.40593614816943274,0.32363026079087237,0.5358508603097241,0.0,1.0,0.3333058759733296,False
noise,4.274750681290067,f1_region_2,λ=2,divtree_lambda2_region2,224,0.34649166111782254,0.3235513416440329,0.5725095091019452,0.0,1.0,0.3538171385063605,False
intensity,0.13359290997532036,f1_region_2,λ=2,divtree_lambda2_region2,226,0.33876203255187115,0.323494432607157,0.533458387791299,0.0,1.0,0.35124055724434083,False
rareness,0.1691953477546883,f1_region_2,TwoStep (recall),twostep_recall,228,0.26394205117619035,0.32335092890668954,0.4123290528489255,0.0,1.0,0.3347925455448858,False
data_size,16394.80890739932,f1_region_2,λ=4,divtree_lambda4_region2,231,0.36995869010533305,0.32305557225708526,0.5159923593631089,0.0,1.0,0.35253465799871603,False
data_size,13482.627330113071,f1_region_2,TwoStep (recall),twostep_recall,236,0.3874283724375162,0.3229916248174343,0.5425019016238914,0.0,1.0,0.3333058759733296,False
noise,0.26990244496021376,f1_region_2,TwoStep (recall),twostep_recall,230,0.4920261994998224,0.32292292826520663,0.41893318228123927,0.0,1.0,0.33541338825174577,False
noise,3.026549586817165,f1_region_2,λ=8,divtree_lambda8_region2,231,0.3731817221916891,0.3228286419996721,0.5003354811156693,0.0,1.0,0.3497675285395157,False
data_size,64450.92564416891,f1_region_2,TwoStep (recall),twostep_recall,213,0.3791539060344832,0.322436167091415,0.5003116640320925,0.0,1.0,0.3333058759733296,False
data_size,24242.087597150792,f1_region_2,λ=8,divtree_lambda8_region2,233,0.39128212063381324,0.3223792802892326,0.5060019885114188,0.0,1.0,0.3488068880111833,False
noise,0.38121485453303716,f1_region_2,TwoStep (tuned),twostep_tuned,211,0.44294789775427684,0.3221746043367286,0.49620741767136933,0.0,1.0,0.34331462425450227,False
noise,0.03399607980711228,f1_region_2,λ=4,divtree_lambda4_region2,202,0.46815768887412534,0.3221528833736716,0.5333016459002189,0.0,1.0,0.34964159360563196,False
intensity,0.5964538942816824,f1_region_2,TwoStep (recall),twostep_recall,217,0.4130636177628803,0.3221095205380096,0.5305360578517628,0.0,1.0,0.33572519776697707,False
noise,0.19109257923523043,f1_region_2,TwoStep (recall),twostep_recall,207,0.48024545624795073,0.322072341311681,0.4049355808156276,0.0,1.0,0.33541338825174577,False
intensity,0.3763920367806187,f1_region_2,TwoStep (tuned),twostep_tuned,221,0.38522831940129965,0.3220491052644041,0.5538031791612126,0.0,1.0,0.3442966324839895,False
data_size,115884.31148680957,f1_region_2,TwoStep (tuned),twostep_tuned,236,0.4269924195441142,0.3220026517854502,0.5400287567429193,0.0,1.0,0.34179640817242274,False
intensity,0.13359290997532036,f1_region_2,TwoStep (tuned),twostep_tuned,226,0.4117016467627165,0.3219005833294138,0.5442720812755906,0.0,1.0,0.3442966324839895,False
data_size,24242.087597150792,f1_region_2,λ=4,divtree_lambda4_region2,233,0.38849283168235227,0.321888662374735,0.48844375027634607,0.0,1.0,0.35253465799871603,False
intensity,0.11906916196297226,f1_region_2,λ=2,divtree_lambda2_region2,195,0.35176643541239494,0.3214168883401343,0.46356722723961963,0.0,1.0,0.35124055724434083,False
