factor,factor_bin,metric,method,prefix,n,mean,std,iqr,q05,q95,std_p90,unpredictable
data_size,253368.11425203207,precision_region_2,λ=0,divtree_lambda0,180,0.5953576659010591,0.31009728066076236,0.6640096793782624,0.20605412097591297,1.0,0.3150305157629184,False
noise,0.04801664771977973,precision_region_2,λ=8,divtree_lambda8_region2,214,0.564630609034594,0.31001176434895655,0.650591745695259,0.14495457402434148,1.0,0.3100843316189223,False
intensity,0.9451774034505906,precision_region_2,λ=8,divtree_lambda8_region2,184,0.573909849082731,0.30999551268327424,0.6698266306637628,0.1879934210526316,1.0,0.3150208548477112,False
data_size,253368.11425203207,precision_region_2,λ=8,divtree_lambda8_region2,200,0.5659204879800132,0.3098689650771741,0.6711919626868101,0.14908231824444745,1.0,0.3133870241268255,False
intensity,0.7508360294199752,precision_region_2,λ=0,divtree_lambda0,187,0.5814816333425366,0.30968300815618727,0.6662083506027787,0.14804096367788994,1.0,0.3119724814877106,False
intensity,0.18868429297579686,precision_region_2,λ=2,divtree_lambda2_region2,188,0.48226031873853825,0.3096313884446161,0.4392508140505631,0.09030208882354572,1.0,0.31631647491202214,False
rareness,0.2671528913645983,fnr_region_2,TwoStep (tuned),twostep_tuned,240,0.45217614196571704,0.3095905288671589,0.46544716468293823,0.0,1.0,0.3328522872156383,False
rareness,0.2671528913645983,recall_region_2,TwoStep (tuned),twostep_tuned,240,0.547823858034283,0.3095905288671589,0.46544716468293834,0.0,1.0,0.33285228721563836,False
noise,0.09578948302920401,precision_region_2,λ=4,divtree_lambda4_region2,189,0.5386193932813929,0.3095558481934525,0.6509390500326595,0.1497937356760886,1.0,0.3105831590591568,False
noise,0.5384344159537604,precision_region_2,λ=8,divtree_lambda8_region2,191,0.5387896432658168,0.30930975614502365,0.6096653339977046,0.10884281586588357,1.0,0.3100843316189223,False
intensity,0.21169951438065343,precision_region_2,λ=8,divtree_lambda8_region2,224,0.473524434912795,0.3091838546630842,0.4094552835967029,0.06609781140779031,1.0,0.3150208548477112,False
